model,file_id,noise_type,level,latency_s,accuracy_pct,hypothesis,reference
tiny,10,cafe,level_heavy,0.421,87.9,"We need the shipment to arrive by September 1st. Action. No. Make it September 5th at the latest that timeline is tight, but we can arrange airframe instead of C-frame. Airframe would increase the cost by approximately 20%. That's acceptable. Given the urgency of this order, we'll confirm the final delivery date within 24 hours.","We need the shipment to arrive by September 1st... actually, no, make it September 5th at the latest. That timeline is tight, but we can arrange air freight instead of sea freight. Air freight would increase the cost by approximately 20%. That's acceptable, given the urgency of this order. We'll confirm the final delivery date within 24 hours."
tiny,01,cafe,level_light,0.778,57.3,"Xin chào, tôi làm mính, đại giản cho công ty tích Việt sâu lưu sần, chúng tôi chuyển công cấp lại pháp phần mềm trong ngành lưu sĩ state. Công ty được thành lập 5.2.000 không chăm mười tạm. Huyện có hơn 1.2.000 viên, 2.5 năm ngoái của chúng tôi đặt khoảng 5.000 đồng. Chúng tôi đang tìm kiếm đối tác chiến lực ở khu vực đông năm á. Dết mong được hợp tác lâu dài với quy công ty.","Xin chào, tôi là Minh, đại diện cho công ty TechViet Solutions. Chúng tôi chuyên cung cấp giải pháp phần mềm cho ngành logistics. Công ty được thành lập năm 2018, hiện có hơn 120 nhân viên. Doanh thu năm ngoái của chúng tôi đạt khoảng 50 tỷ đồng. Chúng tôi đang tìm kiếm đối tác chiến lược ở khu vực Đông Nam Á. Rất mong được hợp tác lâu dài với quý công ty."
tiny,02,cafe,level_light,0.579,94.0,"Good morning, my name is Aar. Sarah, I represent Aurora Tech Singapore. We provide eye-powered supply chain platforms for enterprise clients. We currently serve over 40 clients across six countries in the region. Last quarter, our platform process, you know, more than 2 million transactions. We're excited about the possibility of expanding into the Vietnamese market. Thank you for taking the time to meet with us today.","Good morning, my name is... ah, Sarah, I represent Aurora Tech Singapore. We provide AI-powered supply chain platforms for enterprise clients. We currently serve over 40 clients across 6 countries in the region. Last quarter, our platform processed, you know, more than 2 million transactions. We're excited about the possibility of expanding into the Vietnamese market. Thank you for taking the time to meet with us today."
tiny,03,cafe,level_light,0.597,60.3,"Chúng tôi đã review bảo giá của quy công ty. Mức giá hơi tào sau với bắt sĩ bàn đầu. Ngân sách của chúng tôi cho pro rõ dích này là khoảng 2,000 niên đô làm ý. Nếu ký hợp đồng 2 năm, quy vị có thể óp vừa giảm giá người phần chăm được không. Chúng tôi cũng cần thời gian bảo hành tôi thiệu người tấm thắng. Vậy chúng ta có thể chốt lại các ác sân ai tầm và cuộc họp bình sau không.","Chúng tôi đã review báo giá của quý công ty, mức giá hơi cao so với budget ban đầu. Ngân sách của chúng tôi cho project này là khoảng 200 nghìn đô la Mỹ. Nếu ký hợp đồng 2 năm, quý vị có thể offer giảm giá 10% được không? Chúng tôi cũng cần thời gian bảo hành tối thiểu 18 tháng. Vậy chúng ta có thể chốt lại các action items vào cuộc họp tuần sau không?"
tiny,04,cafe,level_light,0.399,96.6,"We would like to discuss the pricing for the next quarter. Our current offer is, let me check, 15% lower than the market average. However, we can only guarantee this rate for orders above. Sorry, above 500 units. Can we schedule a follow-up meeting next Monday at 9am? I'll send the revised proposal by email this afternoon.","We would like to discuss the pricing for the next quarter. Our current offer is... let me check... 15% lower than the market average. However, we can only guarantee this rate for orders above... sorry, above 500 units. Can we schedule a follow-up meeting next Monday at 9 AM? I'll send the revised proposal by email this afternoon."
tiny,05,cafe,level_light,0.603,45.3,"Bây mình tâm trong hợp đồng đang gây là bác nguy phần chăm trước. Bây nguy phần chăm sau khi nghiệp thú, chúng tôi muốn nhiều trình thành 3 được thành tỏng thay vì hay được. Về điều quản phát vi phản, mức phát hiện tại là không phải nằm phần chăm mỗi ngày trễ hạn. Thơi hạn hợp đồng là mười hay thắng, có thể ra hạn thêm sau thắng. Tìm lý gồ của chúng tôi sẽ xem lại bản dự thảo trước khi kỳ chính thức.","Payment terms trong hợp đồng đang ghi là 30% trước, 70% sau khi nghiệm thu. Chúng tôi muốn điều chỉnh thành 3 đợt thanh toán thay vì 2 đợt. Về điều khoản phạt vi phạm, mức phạt hiện tại là 0.5% mỗi ngày trễ hạn. Thời hạn hợp đồng là 12 tháng, có thể gia hạn thêm 6 tháng. Team legal của chúng tôi sẽ xem lại bản dự thảo trước khi ký chính thức."
tiny,06,cafe,level_light,0.515,98.2,Let's go over the confidentiality clause in Section 4 of the contract. This clause remains valid for five years after the contract ends. We propose adding an arbitration clause in case of any disputes. Both parties must give written notice at least 60 days before termination. I believe this covers all the key terms for now.,Let's go over the confidentiality clause in section 4 of the contract. This clause remains valid for 5 years after the contract ends. We propose adding an arbitration clause in case of any disputes. Both parties must give written notice at least 60 days before termination. I believe this covers all the key terms for now.
tiny,07,cafe,level_light,0.559,63.8,"Hệ thống của chúng tôi hiện tại sợp tích hợp qua API REST và WApple. Thời gian phản hồi chung bình là giới 2.000 lia giây. Dữ liệu được mạo hóa theo chuẩn, AES 2.5 sấu khi liều chữ và chuyển tay. Hệ thống có khả năng scale để handle tới 1 nghìn RIC WEST mỗi giây. Chúng tôi cùng cấp tại liệu API đây đủ và hỗ trợ kiện thoại 2.000 vấn bài.",Hệ thống của chúng tôi hiện tại support tích hợp qua API REST và webhook. Thời gian phản hồi trung bình là dưới 200 mili giây. Dữ liệu được mã hóa theo chuẩn AES-256 khi lưu trữ và truyền tải. Hệ thống có khả năng scale để handle tới 10 nghìn request mỗi giây. Chúng tôi cung cấp tài liệu API đầy đủ và hỗ trợ kỹ thuật 24/7.
tiny,08,cafe,level_light,0.407,98.1,"How does your platform handle data backup in disaster recovery? We perform automatic backups every 6 hours with a 99.9% uptime guarantee. Is the system compatible with? Um, on-premise deployment for sensitive data? Yes, we offer both cloud and on-premise deployment options. What is the estimated onboarding time for a new client?","How does your platform handle data backup and disaster recovery? We perform automatic backups every 6 hours with a 99.9% uptime guarantee. Is the system compatible with, um, on-premise deployment for sensitive data? Yes, we offer both cloud and on-premise deployment options. What is the estimated onboarding time for a new client?"
tiny,09,cafe,level_light,0.566,67.9,"Đơn hàng lần này gồm năm 2014, cần rau trước ngày 15 tháng tắm, thời gian sản sất tiêu chuẩn của chúng tôi là bát tồn. Nếu đặt hàng gấp, á không, nếu là đơn ơn ơn, chúng tôi có thể giúp nắn xuống còn mười ngày với phụ phí năm 2014. Hàng sẽ được phận chuyển bằng đường biển, dự kiến mất thêm hai tồn. Chúng tôi sẽ gửi mở chắc kinh đơn hàng ngày sau khi sất khó.","Đơn hàng lần này gồm 500 sản phẩm, cần giao trước ngày 15 tháng 8. Thời gian sản xuất tiêu chuẩn của chúng tôi là 3 tuần. Nếu đặt hàng gấp... à không, nếu là đơn urgent, chúng tôi có thể rút ngắn xuống còn 10 ngày với phụ phí 5%. Hàng sẽ được vận chuyển bằng đường biển, dự kiến mất thêm 2 tuần. Chúng tôi sẽ gửi mã tracking đơn hàng ngay sau khi xuất kho."
tiny,10,cafe,level_light,0.408,100.0,"We need the shipment to arrive by September 1st. Actually, no. Make it September 5th at the latest that timeline is tight, but we can arrange air freight instead of sea freight. Air freight would increase the cost by approximately 20%. That's acceptable. Given the urgency of this order, we'll confirm the final delivery date within 24 hours.","We need the shipment to arrive by September 1st... actually, no, make it September 5th at the latest. That timeline is tight, but we can arrange air freight instead of sea freight. Air freight would increase the cost by approximately 20%. That's acceptable, given the urgency of this order. We'll confirm the final delivery date within 24 hours."
tiny,01,cafe,level_medium,0.757,50.7,"Xin chào, tôi làm mính, đại giản cho công ty tích Việt sôi lúc sần, chúng tôi chuyển công cấp lại pháp và nền trong nành lươi Đi Cích Đi. Công ty được thành lập 5.2.000 hông chăm mười tạm. Huyện có hơn 1.2.000 viên, ra in khu năm ngoái của chúng tôi đặt khoảng 5.000 đồng. Chúng tôi đang tìm kiếm đối tác chiến lực ở khu vực đông năm á. Dết mong được hợp tác lâu dài với quy công ty.","Xin chào, tôi là Minh, đại diện cho công ty TechViet Solutions. Chúng tôi chuyên cung cấp giải pháp phần mềm cho ngành logistics. Công ty được thành lập năm 2018, hiện có hơn 120 nhân viên. Doanh thu năm ngoái của chúng tôi đạt khoảng 50 tỷ đồng. Chúng tôi đang tìm kiếm đối tác chiến lược ở khu vực Đông Nam Á. Rất mong được hợp tác lâu dài với quý công ty."
tiny,02,cafe,level_medium,0.58,92.5,"Good morning, my name is Aura. Sarah, I represent Aurora Tech Singapore. We provide eye-powered supply chain platforms for enterprise clients. We currently serve over 40 clients across six countries in the region. Last quarter, our platform processed. You know, more than 2 million transactions. We're excited about the possibility of expanding into the Vietnamese market. We're looking for taking the time to meet with us today.","Good morning, my name is... ah, Sarah, I represent Aurora Tech Singapore. We provide AI-powered supply chain platforms for enterprise clients. We currently serve over 40 clients across 6 countries in the region. Last quarter, our platform processed, you know, more than 2 million transactions. We're excited about the possibility of expanding into the Vietnamese market. Thank you for taking the time to meet with us today."
tiny,03,cafe,level_medium,0.577,61.5,"Chúng tôi đã review bảo giá của quý công ty, mức giá hơi cao sau với bắt sĩ bàn đầu, ngân sẽ quả chúng tôi cho pro rõ dích này là khoảng 2,000 do là Mỹ. Nếu khi hợp đồng 2 năm, quý vị có thể óp vơ giảm giá mười phần chăm được không. Chúng tôi cũng cần thời gian bảo hành tôi thiệu mười tạm thắng. Vậy chúng ta có thể chốt lại các ác sân ai tâm vào cuộc họp bình sau không.","Chúng tôi đã review báo giá của quý công ty, mức giá hơi cao so với budget ban đầu. Ngân sách của chúng tôi cho project này là khoảng 200 nghìn đô la Mỹ. Nếu ký hợp đồng 2 năm, quý vị có thể offer giảm giá 10% được không? Chúng tôi cũng cần thời gian bảo hành tối thiểu 18 tháng. Vậy chúng ta có thể chốt lại các action items vào cuộc họp tuần sau không?"
tiny,04,cafe,level_medium,0.401,100.0,"We would like to discuss the pricing for the next quarter. Our current offer is, let me check, 15% lower than the market average. However, we can only guarantee this rate for orders above. Sorry, above 500 units. Can we schedule a follow-up meeting next Monday at 9 a.m.? I'll send the revised proposal by email this afternoon.","We would like to discuss the pricing for the next quarter. Our current offer is... let me check... 15% lower than the market average. However, we can only guarantee this rate for orders above... sorry, above 500 units. Can we schedule a follow-up meeting next Monday at 9 AM? I'll send the revised proposal by email this afternoon."
tiny,05,cafe,level_medium,0.592,48.0,"Bây mình tâm trong hợp đồng đang ghi là bám quy phần chăm trước. Bây miế phần chăm sau khi niệm vô. Chúng tôi muốn điều trình thành 3 được thành tỏng thay vì hai được. Về điều quản phát đi phòng, mức phát hiện tại là không phải năm phần chăm mỗi ngày trễ hạn. Thời hạn hợp đồng là mười hai thắng, có thể ra hạn thêm sau thắng. Tìm lý gồ của chúng tôi sẽ xem lại bản dự thảo trước khi kỳ chính thức.","Payment terms trong hợp đồng đang ghi là 30% trước, 70% sau khi nghiệm thu. Chúng tôi muốn điều chỉnh thành 3 đợt thanh toán thay vì 2 đợt. Về điều khoản phạt vi phạm, mức phạt hiện tại là 0.5% mỗi ngày trễ hạn. Thời hạn hợp đồng là 12 tháng, có thể gia hạn thêm 6 tháng. Team legal của chúng tôi sẽ xem lại bản dự thảo trước khi ký chính thức."
tiny,06,cafe,level_medium,0.376,98.2,Let's go over the confidentiality clause in Section 4 of the contract. This clause remains valid for five years after the contract ends. We propose adding an arbitration clause in case of any disputes. Both parties must give written notice at least 60 days before termination. I believe this covers all the key terms for now.,Let's go over the confidentiality clause in section 4 of the contract. This clause remains valid for 5 years after the contract ends. We propose adding an arbitration clause in case of any disputes. Both parties must give written notice at least 60 days before termination. I believe this covers all the key terms for now.
tiny,07,cafe,level_medium,0.564,55.1,Hệ thống của chúng tôi hiện tại sợp tích hợp qua API-RES và RAPO. Thời gian phản hồi chung biện là giới 2.000 lié giấy. Dữ liệu được mạo hóa theo chuẩn ở ES 2.5.000 xấu khi liều chữ và chuyển tay. Hệ thống có khả năng scale để handle tới người nghiênh WIC-RES 1 giấy. Chúng tôi cùng cấp tại liệu API đây đủ và hỗ trợ thì thuật 2.000 vấn bài.,Hệ thống của chúng tôi hiện tại support tích hợp qua API REST và webhook. Thời gian phản hồi trung bình là dưới 200 mili giây. Dữ liệu được mã hóa theo chuẩn AES-256 khi lưu trữ và truyền tải. Hệ thống có khả năng scale để handle tới 10 nghìn request mỗi giây. Chúng tôi cung cấp tài liệu API đầy đủ và hỗ trợ kỹ thuật 24/7.
tiny,08,cafe,level_medium,0.402,100.0,"How does your platform handle data backup and disaster recovery? We perform automatic backups every 6 hours with a 99.9% uptime guarantee. Is the system compatible with? Um, on-premise deployment for sensitive data? Yes, we offer both cloud and on-premise deployment options. What is the estimated onboarding time for a new client?","How does your platform handle data backup and disaster recovery? We perform automatic backups every 6 hours with a 99.9% uptime guarantee. Is the system compatible with, um, on-premise deployment for sensitive data? Yes, we offer both cloud and on-premise deployment options. What is the estimated onboarding time for a new client?"
tiny,09,cafe,level_medium,0.572,66.7,"Đơn hàng lần này gồm năm 2020, cần rau trước ngày 15 tháng tắng, thời gian sản sất tiêu chuẩn của chúng tôi là bát tồn. Nếu đặt hàng gấp, a không, nếu là đơn ở dần, chúng tôi có thể giúp nắn xuống còn mười ngày với phụ phía năm phần trắng. Hàng sẽ được vận chuyển bằng đường biển, dự kiến mất thêm hai tồn. Chúng tôi sẽ gửi mở chắc kênh đơn hàng ngày sau khi sất khó.","Đơn hàng lần này gồm 500 sản phẩm, cần giao trước ngày 15 tháng 8. Thời gian sản xuất tiêu chuẩn của chúng tôi là 3 tuần. Nếu đặt hàng gấp... à không, nếu là đơn urgent, chúng tôi có thể rút ngắn xuống còn 10 ngày với phụ phí 5%. Hàng sẽ được vận chuyển bằng đường biển, dự kiến mất thêm 2 tuần. Chúng tôi sẽ gửi mã tracking đơn hàng ngay sau khi xuất kho."
tiny,10,cafe,level_medium,0.405,100.0,"We need the shipment to arrive by September 1st. Actually, no. Make it September 5th at the latest that timeline is tight, but we can arrange air freight instead of sea freight. Air freight would increase the cost by approximately 20%. That's acceptable. Given the urgency of this order, we'll confirm the final delivery date within 24 hours.","We need the shipment to arrive by September 1st... actually, no, make it September 5th at the latest. That timeline is tight, but we can arrange air freight instead of sea freight. Air freight would increase the cost by approximately 20%. That's acceptable, given the urgency of this order. We'll confirm the final delivery date within 24 hours."
tiny,01,office,level_heavy,6.408,18.7,"Xin chào, tôi làm ming, đại diện cho công ty tất hiện suy lưu sân, chúng tôi chuyên cùng cấp giải pháp phần mềm trong ngành lưu sĩ","Xin chào, tôi là Minh, đại diện cho công ty TechViet Solutions. Chúng tôi chuyên cung cấp giải pháp phần mềm cho ngành logistics. Công ty được thành lập năm 2018, hiện có hơn 120 nhân viên. Doanh thu năm ngoái của chúng tôi đạt khoảng 50 tỷ đồng. Chúng tôi đang tìm kiếm đối tác chiến lược ở khu vực Đông Nam Á. Rất mong được hợp tác lâu dài với quý công ty."
